name,age,price,hardcap,social,daily_views,daily_time,success
greenx,115.0,0.2,45808000.0,45210,1.9,154.0,0
stellargoldcoin,8.0,0.5,19696970.0,7737,1.0,100.0,0
loyakk,23.0,0.65,27931034.0,20720,1.0,134.0,1
gotoken,143.0,0.75,21000000.0,1239,2.0,123.0,1
internationalcryptox,161.0,0.0167,9912279.0,17347,1.5,157.0,0
tatatu,146.0,0.25,575000000.0,8781,1.1,72.0,0
tzero,106.0,10.0,268000000.0,8157,1.9,157.0,0
silkchain,110.0,0.02,11904762.0,3660,2.6,156.0,1
atonomi,170.0,0.063,25000000.0,18991,2.4,211.0,1
dateat,59.0,0.15,23076923.0,40474,1.6,98.0,1
vernam,64.0,0.085,50000000.0,15713,1.0,42.0,0
sharering,142.0,0.02,38774500.0,14614,2.4,140.0,0
winstars,143.0,0.2,21416300.0,1729,1.0,104.0,0
quarkchain,173.0,0.0187,20000000.0,59714,1.3,128.0,1
datareum,109.0,0.03,17739900.0,20652,1.0,108.0,0
triwer,115.0,0.08,24686663.0,77145,2.0,129.0,0
cgcx,116.0,0.051,51819576.0,118,3.6,187.0,0
mandala,133.0,0.07,18000000.0,8559,2.6,176.0,1
intro,43.0,0.4,13893550.0,30821,1.6,110.0,0
ivyn,115.0,0.0315,18900000.0,145,1.0,83.0,0
